_dataobs_,Race,Race_Label,Signs_Of_Mental_Illness,Body_Camera,Day,Month,Threat_Level,Region,REP_Armed_Category,REP_Flee,REP_Mental_Illness,F_Signs_Of_Mental_Illness,I_Signs_Of_Mental_Illness,_WARN_,_NODE_,P_Signs_Of_Mental_Illness0,P_Signs_Of_Mental_Illness1,Q_Signs_Of_Mental_Illness0,Q_Signs_Of_Mental_Illness1,V_Signs_Of_Mental_Illness0,V_Signs_Of_Mental_Illness1,R_Signs_Of_Mental_Illness0,R_Signs_Of_Mental_Illness1,U_Signs_Of_Mental_Illness
3425,0,White,0,0,2,1,Attack,Midwest,Gun,Car,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
3426,0,Hispanic,0,1,2,1,Attack,Northeast,Sharp Weapon,Not fleeing,No,0,0,,21,0.6,0.4,0.6,0.4,0.5375,0.4625,0.4,-0.4,0
3427,1,Black,0,0,4,1,Other,Midwest,Sharp Weapon,Not fleeing,No,0,0,,21,0.6,0.4,0.6,0.4,0.5375,0.4625,0.4,-0.4,0
3428,0,White,0,0,1,1,Other,Southeast,Gun,Not fleeing,No,0,0,,9,0.679552391,0.320447609,0.679552391,0.320447609,0.660550459,0.339449541,0.320447609,-0.320447609,0
3429,1,Black,0,0,31,12,Attack,Southeast,Gun,Undetermined,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
3430,1,Black,0,1,2,1,Attack,West,Vehicle,Car,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
3431,0,White,0,1,2,1,Attack,West,Gun,Car,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
3432,0,White,0,0,6,1,Attack,Southeast,Gun,Car,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
3433,0,Hispanic,0,0,6,1,Attack,Southwest,Gun,Foot,No,0,0,,7,0.895522388,0.104477612,0.895522388,0.104477612,0.920473773,0.079526227,0.104477612,-0.104477612,0
3434,0,Hispanic,0,0,6,1,Other,Southwest,Gun,Not fleeing,No,0,0,,11,0.839050132,0.160949868,0.839050132,0.160949868,0.816326531,0.183673469,0.160949868,-0.160949868,0
